更新时间,#genre#
20250422 09:43:42,https://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8?contentid=2820180516001
关于本源(清影),https://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8?contentid=2820180516001


央视综合,#genre#
直播中国,https://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8?contentid=2820180516001
CCTV1,http://
CCTV2,http://
CCTV3,http://
CCTV4,http://
CCTV4美洲,http://
CCTV4欧洲,http://
CCTV5,http://
CCTV5+,http://
CCTV6,http://
CCTV7,http://
CCTV8,http://
CCTV9,http://
CCTV10,http://
CCTV11,http://
CCTV12,http://
CCTV13,http://
CCTV14,http://
CCTV15,http://
CCTV16,http://
CCTV16-4K,http://
CCTV17,http://
CCTV4K,http://
CCTV8K,http://
4KUHD,http://
CGTN,http://
CGTN纪录,http://
CGTN俄语,http://
CGTN法语,http://
CGTN西语,http://
CGTN阿语,http://
重温经典,http://
CHC家庭影院,http://
CHC动作电影,http://
CHC高清电影,http://
CHC影迷电影,http://
风云音乐,http://
第一剧场,http://
风云剧场,http://
怀旧剧场,http://
女性时尚,http://
风云足球,http://
世界地理,http://
兵器科技,http://
电视指南,http://
央视文化精品,http://
央视台球,http://
高尔夫·网球,http://
CETV1,http://
CETV2,http://
CETV3,http://
CETV4,http://
发现之旅,http://
中学生,http://
老故事,http://
CCTV1,http://107.174.52.32/itv.php?id=CCTV1
CCTV2,http://107.174.52.32/itv.php?id=CCTV2
CCTV3,http://107.174.52.32/itv.php?id=CCTV3
CCTV4,http://107.174.52.32/itv.php?id=CCTV4
CCTV5,http://107.174.52.32/itv.php?id=CCTV5
CCTV5+,http://107.174.52.32/itv.php?id=CCTV5+
CCTV6,http://107.174.52.32/itv.php?id=CCTV6
CCTV7,http://107.174.52.32/itv.php?id=CCTV7
CCTV8,http://107.174.52.32/itv.php?id=CCTV8
CCTV9,http://107.174.52.32/itv.php?id=CCTV9
CCTV10,http://107.174.52.32/itv.php?id=CCTV10
CCTV11,http://107.174.52.32/itv.php?id=CCTV11
CCTV12,http://107.174.52.32/itv.php?id=CCTV12
CCTV13,http://107.174.52.32/itv.php?id=CCTV13
CCTV14,http://107.174.52.32/itv.php?id=CCTV14
CCTV15,http://107.174.52.32/itv.php?id=CCTV15
CCTV16,http://107.174.52.32/itv.php?id=CCTV16
CCTV17,http://107.174.52.32/itv.php?id=CCTV17
CCTV4K超高清,http://119.96.210.21/jsctcc-tvod.ks-cdn.gitv.tv/gitv_live/G_CCTV-4K-HD/index.m3u8
CCTV1,http://183.203.182.117:9616/hls/1/index.m3u8
CCTV2,http://183.203.182.117:9616/hls/2/index.m3u8
CCTV5+,http://183.203.182.117:9616/hls/5/index.m3u8
CCTV4,http://183.203.182.117:9616/hls/4/index.m3u8
CCTV7,http://183.203.182.117:9616/hls/7/index.m3u8
CCTV9,http://183.203.182.117:9616/hls/9/index.m3u8
CCTV10,http://183.203.182.117:9616/hls/10/index.m3u8
CCTV12,http://183.203.182.117:9616/hls/12/index.m3u8
CCTV14,http://183.203.182.117:9616/hls/14/index.m3u8
CCTV6,http://117.43.170.174:54321/bptv/10000100000000050000000003870749.m3u8
重温经典,http://117.43.170.174:54321/bptv/10000100000000050000000003887494.m3u8
CCTV1,http://148.135.93.213/live.php?id=CCTV1
CCTV2,http://148.135.93.213/live.php?id=CCTV2
CCTV3,http://148.135.93.213/live.php?id=CCTV3
CCTV4,http://148.135.93.213/live.php?id=CCTV4
CCTV5,http://148.135.93.213/live.php?id=CCTV5
CCTV5+,http://148.135.93.213/live.php?id=CCTV5p
CCTV6,http://148.135.93.213/live.php?id=CCTV6
CCTV7,http://148.135.93.213/live.php?id=CCTV7
CCTV8,http://148.135.93.213/live.php?id=CCTV8
CCTV9,http://148.135.93.213/live.php?id=CCTV9
CCTV10,http://148.135.93.213/live.php?id=CCTV10
CCTV11,http://148.135.93.213/live.php?id=CCTV11
CCTV12,http://148.135.93.213/live.php?id=CCTV12
CCTV13,http://148.135.93.213/live.php?id=CCTV13
CCTV14,http://148.135.93.213/live.php?id=CCTV14
CCTV15,http://148.135.93.213/live.php?id=CCTV15
CCTV16,http://148.135.93.213/live.php?id=CCTV16
CCTV17,http://148.135.93.213/live.php?id=CCTV17
重温经典,http://148.135.93.213/live.php?id=重温经典
家庭影院,http://148.135.93.213/live.php?id=CHC家庭影院
动作电影,http://148.135.93.213/live.php?id=CHC动作电影
CCTV1,http://sszb-iptv.top/松鼠2025/bestV1/best2024.php?id=cctv1hd
CCTV2,http://sszb-iptv.top/松鼠2025/bestV1/best2024.php?id=cctv2hd8m
CCTV3,http://sszb-iptv.top/松鼠2025/bestV1/best2024.php?id=cctv3hd
CCTV4,http://sszb-iptv.top/松鼠2025/bestV1/best2024.php?id=cctv4hd4m
CCTV5,http://sszb-iptv.top/松鼠2025/bestV1/best2024.php?id=cctv5hd
CCTV5+,http://sszb-iptv.top/松鼠2025/bestV1/best2024.php?id=cctv5phd
CCTV6,http://sszb-iptv.top/松鼠2025/bestV1/best2024.php?id=cctv6hd
CCTV7,http://sszb-iptv.top/松鼠2025/bestV1/best2024.php?id=cctv7hd4m
